,,,,,,,nodes,aFace,aLocation,adjacency list,,,,,,,
,,,,,,,1,B,F,BA,BB,BK,AA,AB,CK,,
,,,,,,,2,B,K,BF,AA,AB,AF,,,,
,,,,,,,3,A,C,AB,AG,BL,BG,,,,
,dummy1,,,,,,4,A,D,AE,AH,BL,BH,,,,
,,,,,,,5,B,H,BE,BD,BL,CL,AD,AE,,
,,,,,,,6,A,J,AE,A1,D1,DE,,,,
,,,,,,,7,D,A,D2,DF,AK,AF,,,,
,,,,,,,8,D,B,DC,DG,DF,AK,AG,AF,,
,,,,,,,9,A,G,AL,AB,AC,BL,DC,DB,,
,,,,,,,10,A,L,AH,AG,DH,DG,DD,DC,,
,,,,,,,11,D,E,D1,DD,DJ,DI,DH,AJ,AI,AH
,,,,,,,12,D,I,DE,CE,,,,,,
,,,,,,,13,C,K,CF,BA,BB,BF,B2,,,
,,,,,,,14,C,F,CA,CB,CK,BA,BB,DK,,
,,,,,,,15,B,C,BB,BG,CL,CG,,,,
,,,,,,,16,B,D,BE,BH,CL,CH,,,,
,,,,,,,17,C,H,CE,CD,CL,DL,BD,BE,,
,,,,,,,18,B,I,BE,AE,,,,,,
,,,,,,,19,A,A,A2,AF,BK,BF,,,,
,,,,,,,20,A,B,AC,AG,AF,BK,BG,BF,,
,,,,,,,21,B,G,BL,BB,BC,CL,AC,AB,,
,,,,,,,22,B,L,BH,BG,AH,AG,AD,AC,,
,,,,,,,23,A,E,A1,AD,AJ,AI,AH,BJ,BI,BH
,,,,,,,24,B,J,BE,B1,A1,AE,,,,
,,,,,,,25,D,K,DF,CA,CB,CF,,,,
,,,,,,,26,D,F,DA,DB,DK,CA,CB,AK,,
,,,,,,,27,C,C,CB,CG,DL,DG,,,,
,,,,,,,28,C,D,CE,CH,DL,DH,,,,
,,,,,,,29,D,H,DE,DD,DL,AL,CD,CE,,
,,,,,,,30,C,I,CE,BE,,,,,,
,,,,,,,31,B,A,B2,BF,CK,CF,,,,
,,,,,,,32,B,B,BC,BG,BF,CK,CG,CF,,
,dummy2,,,,,,33,C,G,CL,CB,CC,DL,BC,BB,,
,,,,,,,34,C,L,CH,CG,BH,BG,BD,BC,,
,,,,,,,35,B,E,B1,BD,BJ,BI,BH,CJ,CI,CH
,,,,,,,36,C,J,CE,C1,B1,BE,,,,
,,,,,,,37,A,K,AF,DA,DB,DF,,,,
,,,,,,,38,A,F,AA,AB,AK,DA,DB,BK,,
,,,,,,,39,D,C,DB,DG,AL,AG,,,,
,,,,,,,40,D,D,DE,DH,AL,AH,,,,
,,,,,,,41,A,H,AE,AD,AL,BL,DD,DE,,
,,,,,,,42,A,I,AE,DE,,,,,,
,,,,,,,43,C,A,C2,CF,DK,DF,,,,
,,,,,,,44,C,B,CC,CG,CF,DK,DG,DF,,
,,,,,,,45,D,G,DL,DB,DC,AL,CC,CB,,
,,,,,,,46,D,L,DH,DG,CH,CG,CD,CC,,
,,,,,,,47,C,E,C1,CD,CJ,CI,CH,DJ,DI,DH
,,,,,,,48,D,J,DE,D1,C1,CE,,,,
,,,,,,,dummy1a,A,1,AE,AJ,BJ,,,,,
,,,,,,,dummy2a,A,2,AA,,,,,,,
,,,,,,,dummy1b,B,1,BE,BJ,CJ,,,,,
,,,,,,,dummy2b,B,2,BA,,,,,,,
,,,,,,,dummy1c,C,1,CE,CJ,DJ,,,,,
,,,,,,,dummy2c,C,2,CA,,,,,,,
,,,,,,,dummy1d,D,1,DE,DJ,AJ,,,,,
,,,,,,,dummy2d,D,2,DA,,,,,,,
