Index,Node,Face,Location,aFace,aLocation,x,y,z
1,20,A,a,B,F,-3,0,3.5
2,21,A,b,B,K,0,0,3.5
3,22,A,c,A,C,0,0,8.5
4,23,A,d,A,D,0,0,13.5
5,24,A,e,B,H,-3,0,13.5
6,65,A,f,A,J,0,3,20
7,25,A,g,D,A,0,6,1
8,17,A,h,D,B,0,6,6
9,27,A,i,A,G,0,3,8.5
10,18,A,j,A,L,0,6,11
11,29,A,k,D,E,0,6,16
12,6,A,l,D,I,-3,6,16
13,54,B,a,C,K,-6,0,3.5
14,55,B,b,C,F,-6,6,3.5
15,56,B,c,B,C,-6,0,8.5
16,58,B,d,B,D,-6,0,13.5
17,59,B,e,C,H,-6,3,13.5
18,66,B,f,B,I,-3,0,16
19,60,B,g,A,A,0,0,1
20,61,B,h,A,B,0,0,6
21,62,B,i,B,G,-3,0,8.5
22,63,B,j,B,L,0,0,11
23,64,B,k,A,E,0,0,16
24,67,B,l,B,J,-3,0,20
25,41,C,a,D,K,-6,6,3.5
26,42,C,b,D,F,-3,6,3.5
27,43,C,c,C,C,-6,6,8.5
28,44,C,d,C,D,-6,6,13.5
29,45,C,e,D,H,-3,6,13.5
30,5,C,f,C,I,-6,3,16
31,46,C,g,B,A,-6,0,1
32,47,C,h,B,B,-6,0,6
33,49,C,i,C,G,-6,3,8.5
34,52,C,j,C,L,-6,0,11
35,53,C,k,B,E,-6,0,16
36,68,C,l,C,J,-6,3,20
37,30,D,a,A,K,0,6,3.5
38,31,D,b,A,F,0,3,3.5
39,32,D,c,D,C,0,6,8.5
40,33,D,d,D,D,0,6,13.5
41,7,D,e,A,H,0,3,13.5
42,15,D,f,A,I,0,3,16
43,36,D,g,C,A,-6,6,1
44,37,D,h,C,B,-6,6,6
45,38,D,i,D,G,-3,6,8.5
46,39,D,j,D,L,-6,6,11
47,40,D,k,C,E,-6,6,16
48,69,D,l,D,J,-3,6,20
dummy1a,,,,A,1,0,0,20
dummy2a,,,,A,2,0,0,0
dummy1b,,,,B,1,-6,0,20
dummy2b,,,,B,2,-6,0,0
dummy1c,,,,C,1,-6,6,20
dummy2c,,,,C,2,-6,6,0
dummy1d,,,,D,1,0,6,20
dummy2d,,,,D,2,0,6,0
